wm_shipment_sk,calendar_date,calendar_period,calendar_date_sk,posting_period,site_id,site_sk,wm_warehouse_cd,warehouse_sk,asn_type_cd,asn_type_desc,shipment_no,qc_hold_upon_receipt_ind,ship_via_cd,manifest_no,bill_of_lading_no,trailer_no,order_no,received_from_no,received_from_vendor_name,received_from_vendor_addr_1,received_from_vendor_addr_2,received_from_vendor_addr_3,received_from_vendor_city,received_from_vendor_state_cd,received_from_vendor_zip,received_from_vendor_phone_no,representative_name,hdr_shipped_cases_qty,hdr_shipped_bottles_qty,hdr_received_cases_qty,hdr_received_bottles_qty,shipped_dt,scheduled_start_receive_dt,scheduled_start_receive_time,first_receipt_dt,first_receipt_time,last_receipt_dt,last_receipt_time,verified_dt,shipment_priority_ind,hrd_asn_status_cd,hdr_asn_status_desc,seal_no,scac_cd,pickticket_order_type,sap_company_cd,warehouse_no,pickicket_wave_no,vendor_asn_no,po_no,po_line_no,item_no,wm_item_sk,wm_item_hist_sk,shipment_seq_no,inventory_type_cd,product_status_cd,bottles_per_case,dtl_shipped_cases_qty,dtl_shipped_bottles_qty,dtl_received_cases_qty,dtl_received_bottles_qty,verified_cases_qty,verified_bottles_qty,pre_received_qty,bottles_per_pallet,laid_in_price_per_case_amt,process_immediate_needs_ind,item_manufacturing_dt,item_expiration_dt,dtl_asn_status_cd,dtl_asn_status_desc,original_pickticket_line_qty,load_dt,load_id,modified_dt,modified_user,src_desc,source_system,check_sum
35768020,2024-10-01 00:00:00,202410,20241001,,7001,-7001,AGK,-960,3,Inbound ASN,83135351,,,,,,,2211-MWD1,SGWS KENTUCKY - ANKAA KY RDC SHEPHE,316 CLERMONT ROAD,,,SHEPHERDSVILLE,KY,40165,,,0,22.,0,0.,20241001,20241001,0,0,0,0,0,0,N,10,,,,,9999,99990,,,4014784,1,MISCLOU,10615876,4699314,1,F,XDK,1.,0,22.,0,0.,0,0.,0.,0.,0.,Y,0,0,10,,0.,2024-10-01 22:20:07,0,2024-10-01 22:20:07,INFAJOB,WMIAHASNF_15_AGK_3936961_20241001160446.txt,WMI,98ce5d419beb59df7ebcc8e5f2d131b9
35960531,2024-10-04 00:00:00,202410,20241004,,7001,-7001,AGK,-960,3,Inbound ASN,83034210,,OTHR,,10568620,721,,100478,CAMPARI AMERICA,"1114 AVENUE OF THE AMERICAS, F",,,LEXINGTON,NY,10036,,CONSOLIDATED GRAIN AND BARGE C,0,12480.,18,12480.,20240930,20241001,0,20241001,90157,20241001,90157,20241004,N,90,,01859684,,,1500,68000,,,3995577,1,992251,79368,7872918,1,F,LAK,12.,0,3072.,4,3072.,4,3072.,3072.,0.,0.,Y,0,0,90,,0.,2024-10-01 22:20:07,0,2024-11-21 23:19:56,INFAJOB,WMIAHASNF_15_AGK_3936961_20241001160446.txt,WMI,57eea777061486f7470dc335dc6f7880
34086472,2025-01-09 00:00:00,202501,20250109,,7002,-7002,AGC,-961,1,PO ASN,4002632,,,,,,,100478,CAMPARI AMERICA,"1114 AVENUE OF THE AMERICAS, FL 30",,,NORTH BERGEN,NY,10036,,WESTERN CARRIERS - 1st LEG,0,6742.,0,6712.,20241121,20241203,0,20241101,180547,20241203,145644,20250109,N,90,,,,,5200,34900,,,,1,557366,1978275,12098272,1,F,PHX,6.,0,6720.,8,6720.,8,6720.,6720.,0.,0.,Y,0,0,90,,0.,2024-09-17 01:20:52,0,2025-04-22 01:19:23,INFAJOB,WMIAHASNF_15_AGC_3897655_20240916190033.txt,WMI,3b764548be4439c262fe4efc7f350907
72598228,2025-07-17 00:00:00,202507,20250717,,7001,-7001,AGK,-960,3,Inbound ASN,89547265,,,,,,,700384,UNITED STATES DISTILLED PRODUCTS,1607 SOUTH 12TH STREET,,,PRINCETON,MN,55371,,,0,88.,20,1113.,20250715,20250717,0,20250717,91553,20250717,91553,0,N,40,,,,,9999,99990,,,4243167,1,MISCTXD,31792,4680223,4,F,XDK,1.,0,22.,11,677.,0,0.,677.,0.,0.,Y,0,0,40,,0.,2025-07-02 01:53:55,0,2025-07-17 22:26:07,INFAJOB,WMIAHASNF_15_AGK_4750742_20250701160046.txt,WMI,659a907bf36c334191ddb9371f4244ef
34549818,2024-10-01 00:00:00,202410,20241001,,7001,-7001,AGK,-960,1,PO ASN,4005376,,,,,,,705848,FUSION TRANSPORT,1881 NORMANTOWN ROAD,,,PLAINFIELD,IL,60544,,,0,22.,2,2.,20240930,20241001,0,20241001,101627,20241001,101636,0,N,40,,,,,95,80100,,,,1,MISCWAP,1532848,4724515,1,F,XDK,1.,0,22.,2,2.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2024-09-19 22:19:53,0,2024-10-01 22:20:07,INFAJOB,WMIAHASNF_15_AGK_3906578_20240919160034.txt,WMI,c307ed1ffeb1084af792e4ad15380582
46779777,2025-04-13 00:00:00,202504,20250413,,7002,-7002,AGC,-961,1,PO ASN,4055590,,,,,,,100033,PERNOD RICARD USA,100 MANHATTANVILLE ROAD,,,Paisley,NY,10577,,CARRIER FOR PRE-PAID SUPPLIER,0,14136.,23,13560.,20250113,20250411,0,20250411,145938,20250411,150139,20250413,N,90,,,,,6200,25500,,,,5,15502,1923237,12091744,5,F,SFS,12.,0,1800.,3,1800.,3,1800.,1800.,0.,0.,Y,0,0,90,,0.,2024-12-17 02:18:35,0,2025-04-16 01:54:40,INFAJOB,WMIAHASNF_15_AGC_4091114_20241115190036.txt,WMI,af3edc6d72f19c779f169cef3056d7dc
34426834,2024-10-07 00:00:00,202410,20241007,,7001,-7001,AGK,-960,1,PO ASN,4006306,,,,,,,100285,JIM BEAM BRANDS CO,408 SOUTH 4TH STREET,,,Frankfort,KY,40202,,CONSOLIDATED GRAIN AND BARGE C,0,8280.,24,8280.,20241007,20241007,0,20241007,95829,20241007,95830,20241007,N,90,,,,,3500,69000,,,,2,970031,56940,11975904,2,F,BOL,6.,0,5400.,12,5400.,12,5400.,5400.,0.,0.,Y,0,0,90,,0.,2024-09-19 22:19:53,0,2025-04-21 22:33:17,INFAJOB,WMIAHASNF_15_AGK_3906578_20240919160034.txt,WMI,9d3bf6ae0241167b341e43cd0f35618a
46634758,2024-12-18 00:00:00,202412,20241218,,7002,-7002,AGC,-961,1,PO ASN,FRC0000001,,,,PRO0549339-1,,FRC0000001,FRC115,Field Recording,330B Marquita Ave,,,Raso Robles,CA,93446,,,0,12913.,20,12912.,20241216,0,0,20241218,192609,20241218,192609,20241218,N,90,,,,,0,99900,,,,3,FRC00002,147432,11899412,11,F,FRC,12.,0,1344.,2,1344.,2,1344.,1344.,0.,0.,Y,0,0,90,,0.,2024-12-17 02:18:35,0,2025-04-22 01:19:23,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,250a3add16bb4b77f178b1b5ec3e6fa8
46682632,2024-12-20 00:00:00,202412,20241220,,7002,-7002,AGC,-961,1,PO ASN,4082665,,,,,,,700029,ALEXANDER VALLEY CELLARS,1010 SHILOH ROAD,,,WINDSOR,CA,95492,,,0,22.,1,54.,20241219,20241219,0,20241219,141935,20241219,141935,0,N,40,,,,,46,62100,,,,1,MISCLAS,604532,12852462,1,F,XDK,1.,0,22.,1,54.,0,0.,54.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,37465fb643871194b8c94ab6949f7af8
46629997,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,1,PO ASN,4056744,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,22.,1,1.,20241220,20241227,0,20250103,194322,20250103,194322,0,N,40,,,,,50,35300,,,,1,MISCHIM,920691,13016240,1,F,XDK,1.,0,22.,1,1.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,a6e70c64b3249a76acf92e78f17fd241
46877691,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,1,PO ASN,4079577,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,22.,1,1.,20241220,20241227,0,20250103,194853,20250103,194853,0,N,40,,,,,50,35100,,,,1,MISCHIC,2402272,13113973,1,F,XDK,1.,0,22.,1,1.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,c3c6eef2bda011ace32a8532773dd4e7
