wm_item_sk,bottles_per_case,case_weight,case_volume,case_weight_uom,case_volume_uom,case_length,case_width,case_height,case_dimension_uom,site_id,wm_warehouse_cd,item_no,division_cd,division_desc,item_desc,item_size,case_price_amt,bottles_per_pallet,pallet_length,pallet_width,pallet_height,pallet_dimension_uom,max_pallet_stacked_qty,bottles_per_layer,bottle_weight,bottle_volume,pallet_weight,pallet_weight_uom,pallet_volume,pallet_volume_uom,cases_per_layer_qty,layers_per_pallet_qty,item_conveyable_ind,case_putaway_type_cd,bottle_length,bottle_width,bottle_height,bottle_dimension_uom,lpn_label_case_ind,heat_sensitive_ind,force_qualtiy_control_audit_ind,bulk_stack_off_set_cd,wcs_tote_cd,perm_assignment_cd,override_pick_type_cd,scm_item_status_cd,scm_item_status_desc,path_no,corp_suppl_sapvnd_num,vendor_product_no,category_cd,suppl_item_no_xref,scc_barcode,upc_barcode,bupc_barcode,crv_barcode,mon_barcode,ean_barcode,load_dt,load_id,modified_dt,modified_user,src_desc,source_system,check_sum
176868,12,36.,1560.,POUNDS,CUBIC INCHES,13.,10.,12.,INCHES,7002,AGC,653483,S,,ACROBAT PINOT NOIR(SC)23,750ML,10.,672,48.,42.,53.,inches,3,168,3.5,90.,2016.,pounds,106848.,cubic inches,14,4,Y,,3.,3.,10.,inches,,,,,,O,,10,Sku Active,2023,105174,12354,W,,10768675085926,768675085929,,,,,2025-01-31 02:27:29,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_4315712_20250130190040.txt,WMI,0f4eed152622d0556a091960d9fe23a6
135469,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,907545,S,,JAGERMEISTER 70 WORLD CUP MEXICO,750ML,10.78,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100476,25385,L,,10083089524008,083089524001,,,,,2024-09-18 01:20:31,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3900833_20240917190033.txt,WMI,dcaee0a51ddae5b8ab46757e22ec9e6d
2423074,24,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,587703,S,,WILSON CREEK SPKL ALMOND 6/4PK CAN,250ML,0.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,105159,1296,W,,0807239122950,807239122998,,,,,2025-02-11 02:17:15,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_4345006_20250210190040.txt,WMI,face1c5c22b229768d7f897f7560beaf
210023,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,651725,S,,BOUCHARD BEAUNE DU CHATEAU BL 21,750ML,25.67,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,2021,104131,20840,W,,0843304022480,843304019114,,,,,2025-04-12 01:19:12,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_4518104_20250411190041.txt,WMI,b8c80b22c4cf8fdd1383f65a17d43b96
187632,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7001,AGK,582426,S,,JEFFERSON BBN OCN CSK SB(TWM93),750ML,0.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,90,Discontinued,,100033,25449,L,,10814794011657,814794011650,,,,,2024-12-31 23:24:04,0,2025-05-30 22:24:49,INFA JOB,WMISTSTYL_2_AGK_4227457_20241231160038.txt,WMI,3ac6f3eab4c43a4f6a186a5d5889ed63
202680,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7001,AGK,983049,G,,RAMONET JC CHASS MONT BOUDRIOTTE18,750ML,79.89,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,,,,Blank As Valid,2018,100402,25419,W,,,,,,,,2025-06-28 22:15:52,0,2025-06-28 22:15:52,INFA JOB,WMISTSTYL_2_AGK_4742060_20250628160045.txt,WMI,34b5064e4c29804201080a0084909e15
122789,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,624205,S,,CAVATAPPI MADDALENA RED WILLOW 21,750ML,5.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,,Blank As Valid,2021,102754,21298,W,,10848375002529,848375002522,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,4700575b68f74dd7fb5e8b31b6a0c712
122780,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,593826,S,,BROWNE FAMILY VODKA ANDYS FARM 80,750ML,5.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,,Blank As Valid,,102754,221709,L,,10848375012016,848375012019,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,46494c4866621c62dadf6519a11ddb37
102644,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,503990,S,,BOOKER FRACTURE SYRAH 17,750ML,59.05,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,2017,100092,9992,W,,,,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,cdcdd17e9008a3e68814f0dfa523aa3e
117339,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,39388,S,,GRUET CHARDONNAY,750ML,6.88,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,102754,24927,W,,,,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,e62fa8f1b227754c759cb9c38df5a9a2
103923,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,605518,S,,CODIGO 1530 TEQ ANEJO BS(BSHPLDGE),750ML,81.67,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100033,30163,L,,10850018046340,850018046343,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,6425ce890056fbb04c39bd6839ba6051
23447380,10,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7001,AGK,659139,S,,SVEDKA VODKA 100 PET 10/12PK,50ML,5.52,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100690,28806,L,,10088004071322,088004071325,,,,,2025-03-21 22:21:55,0,2025-05-30 22:24:49,INFA JOB,WMISTSTYL_2_AGK_4457057_20250321160040.txt,WMI,4b4669428338c58111abf17bdbf7197c
160331,12,36.5,1753.856,POUNDS,CUBIC INCHES,13.6,10.4,12.4,INCHES,7002,AGC,647858,S,,BANSHEE MORDECAI RED 22,750ML,11.53,672,48.,40.,54.6,inches,3,168,2.95,114.359,2044.,pounds,104832.,cubic inches,14,4,Y,,3.1,3.1,11.9,inches,,,,,,O,,10,Sku Active,2022,105174,20500,W,,10853868006113,853868006116,,,,,2024-10-25 01:23:42,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_4027146_20241024190037.txt,WMI,6b62f15daa1ed58029b3990c2e2ac0b9
